Time [s],Packet ID,MOSI,MISO
0.615546640000000,,0b  0110  1110,
0.619438670000000,,0b  1000  1101,
0.623332860000000,,0b  0001  0110,
0.627220460000000,,0b  1001  0110,
0.631116960000000,,0b  1110  0001,
0.635006130000000,,0b  0001  1101,
0.638904580000000,,0b  1111  0100,
0.642790580000000,,0b  1000  0001,
0.646688030000000,,0b  1010  0011,
0.650574490000000,,0b  1011  0100,
0.654465520000000,,0b  1011  0010,
0.658357190000000,,0b  0101  1101,
0.662252200000000,,0b  1001  1101,
0.666145300000000,,0b  1101  0111,
0.670031940000000,,0b  0011  1011,
0.673922980000000,,0b  0111  0111,
0.677812310000000,,0b  1110  1000,
0.681709800000000,,0b  1010  1101,
0.685593280000000,,0b  1010  0110,
0.689487640000000,,0b  1111  0100,
0.693370970000000,,0b  1001  0101,
0.697268840000000,,0b  1110  0111,
0.701158890000000,,0b  0110  0111,
0.705050220000000,,0b  0110  0100,
0.708932880000000,,0b  1101  1111,
0.712827180000000,,0b  0111  1100,
0.716716280000000,,0b  0101  1111,
0.720611560000000,,0b  1001  1111,
0.724503720000000,,0b  1110  0010,
0.728396080000000,,0b  0111  1000,
0.732286850000000,,0b  1011  1110,
0.736175970000000,,0b  1010  0110,
0.740070260000000,,0b  0101  0011,
0.743959780000000,,0b  1110  0110,
0.747851720000000,,0b  0000  1011,
0.751742520000000,,0b  1010  0000,
0.755639550000000,,0b  0100  0101,
0.759528000000000,,0b  1011  1001,
0.763423590000000,,0b  0111  0100,
0.767317290000000,,0b  0100  0100,
0.771212910000000,,0b  0111  1001,
0.775099820000000,,0b  0111  1000,
0.779001510000000,,0b  1100  1100,
0.782888390000000,,0b  1000  0111,
0.786778880000000,,0b  0100  0101,
0.790665780000000,,0b  1110  1101,
0.794560110000000,,0b  0011  0010,
0.798452930000000,,0b  0111  1001,
0.802348480000000,,0b  0101  0000,
0.806240560000000,,0b  0100  0101,
0.810135300000000,,0b  0010  0000,
0.814026920000000,,0b  1110  1000,
0.817918040000000,,0b  1110  1000,
0.821811690000000,,0b  1111  0001,
0.825705170000000,,0b  0110  1000,
0.829596140000000,,0b  0001  1001,
0.833491020000000,,0b  0110  1110,
0.837386880000000,,0b  0000  0000,
0.841279710000000,,0b  1100  1110,
0.845173970000000,,0b  1110  1001,
0.849062730000000,,0b  1011  1111,
0.852952660000000,,0b  1000  1111,
0.856844920000000,,0b  1100  0000,
0.860746440000000,,0b  1110  0000,
0.864641450000000,,0b  0100  0010,
0.868538930000000,,0b  0000  0010,
0.872430460000000,,0b  1111  1001,
0.876324810000000,,0b  1000  1000,
0.880217210000000,,0b  0100  0010,
0.884108030000000,,0b  1111  0101,
0.888002420000000,,0b  1000  1000,
0.891895000000000,,0b  0011  0001,
0.895785400000000,,0b  1100  0101,
0.899684800000000,,0b  1000  0100,
0.903577770000000,,0b  0010  0000,
0.907472040000000,,0b  1010  0111,
0.911364130000000,,0b  0001  0101,
0.915255810000000,,0b  1000  1001,
0.919149100000000,,0b  0000  0010,
0.923041470000000,,0b  1111  1100,
0.926937590000000,,0b  1101  1101,
0.930828990000000,,0b  0011  0000,
0.934725370000000,,0b  1000  0110,
0.938617250000000,,0b  1011  1110,
0.942515540000000,,0b  0101  1011,
0.946408440000000,,0b  1000  1000,
0.950297550000000,,0b  1011  1011,
0.954194100000000,,0b  0110  1010,
0.958085720000000,,0b  1011  1101,
0.961977960000000,,0b  0011  1001,
0.965869730000000,,0b  1011  0101,
0.969760220000000,,0b  1101  1010,
0.973646850000000,,0b  1101  1101,
0.977545810000000,,0b  0110  1111,
0.981436290000000,,0b  0111  1011,
0.985329290000000,,0b  0111  1101,
0.989220790000000,,0b  1000  1110,
0.993116310000000,,0b  1000  0010,
0.997008050000000,,0b  1100  1011,
